original R;original G;original B;calibrated R ;calibrated G ;calibrated B ;H;S;V;NDVI_observed;NDVI_predicted
25;35;15;65;81;51;0.255555555555556;0.37037037037037;0.317647058823529;0.56078431372549;0.567773342133
45;56;31;99;108;75;0.212121212121212;0.305555555555556;0.423529411764706;0.215686274509804;0.392016619444
18;32;10;49;74;43;0.301075268817204;0.418918918918919;0.290196078431373;0.764705882352941;0.798101663589
16;29;9;45;69;41;0.30952380952381;0.405797101449275;0.270588235294118;0.780392156862745;0.806118488312
5;8;3;31;37;31;0.333333333333333;0.162162162162162;0.145098039215686;0.788235294117647;0.790465354919
4;7;2;29;36;30;0.357142857142857;0.194444444444444;0.141176470588235;0.796078431372549;0.869924902916
26;49;15;63;97;53;0.295454545454545;0.45360824742268;0.380392156862745;0.701960784313725;0.775642037392
33;63;17;74;112;58;0.283950617283951;0.482142857142857;0.43921568627451;0.717647058823529;0.750137925148
29;55;16;68;104;56;0.291666666666667;0.461538461538462;0.407843137254902;0.717647058823529;0.768843412399
32;58;18;74;107;59;0.28125;0.448598130841121;0.419607843137255;0.686274509803922;0.759191036224
49;86;26;93;137;70;0.276119402985075;0.489051094890511;0.537254901960784;0.647058823529412;0.686082959175
53;94;25;97;144;69;0.271111111111111;0.520833333333333;0.564705882352941;0.67843137254902;0.669930636883
25;44;11;61;90;47;0.27906976744186;0.477777777777778;0.352941176470588;0.749019607843137;0.767010331154
41;72;20;86;122;63;0.268361581920904;0.483606557377049;0.47843137254902;0.686274509803922;0.709537982941
22;42;13;55;88;49;0.307692307692308;0.443181818181818;0.345098039215686;0.772549019607843;0.791780471802
39;77;21;79;127;63;0.291666666666667;0.503937007874016;0.498039215686275;0.725490196078431;0.767849504948
17;33;6;46;74;37;0.292792792792793;0.5;0.290196078431373;0.819607843137255;0.787272810936
78;130;43;121;174;90;0.271825396825397;0.482758620689655;0.682352941176471;0.6;0.617646098137
69;124;31;110;168;76;0.271739130434783;0.547619047619048;0.658823529411765;0.694117647058824;0.730057835579
87;147;43;129;181;89;0.260869565217391;0.50828729281768;0.709803921568627;0.623529411764706;0.506963491440
46;79;26;91;130;70;0.275;0.461538461538462;0.509803921568627;0.654901960784314;0.688335418701
24;44;15;60;91;52;0.299145299145299;0.428571428571429;0.356862745098039;0.694117647058824;0.766246676445
41;73;21;86;123;64;0.271186440677966;0.479674796747968;0.482352941176471;0.662745098039216;0.712961673737
6;13;4;30;44;32;0.357142857142857;0.318181818181818;0.172549019607843;0.874509803921569;0.821750640869
80;126;49;125;172;97;0.271111111111111;0.436046511627907;0.674509803921569;0.466666666666667;0.522037029266
71;119;46;114;167;94;0.287671232876712;0.437125748502994;0.654901960784314;0.592156862745098;0.643339633942
83;132;54;127;176;102;0.277027027027027;0.420454545454545;0.690196078431373;0.537254901960784;0.523605585098
68;110;43;113;160;90;0.278571428571429;0.4375;0.627450980392157;0.568627450980392;0.627059459686
80;126;53;125;173;102;0.279342723004695;0.410404624277457;0.67843137254902;0.458823529411765;0.512353658676
87;131;55;134;176;104;0.263888888888889;0.409090909090909;0.690196078431373;0.466666666666667;0.425521373749
75;122;50;118;170;98;0.287037037037037;0.423529411764706;0.666666666666667;0.545098039215686;0.582842588425
81;127;52;126;173;101;0.275462962962963;0.416184971098266;0.67843137254902;0.490196078431373;0.507674276829
48;91;19;90;140;61;0.272151898734177;0.564285714285714;0.549019607843137;0.764705882352941;0.714819192886
51;94;23;93;143;66;0.274891774891775;0.538461538461538;0.56078431372549;0.709803921568627;0.743146121502
115;156;78;158;186;121;0.238461538461538;0.349462365591398;0.729411764705882;0.192156862745098;0.148503512144
96;129;58;147;176;108;0.237745098039216;0.386363636363636;0.690196078431373;0.16078431372549;0.225811392069
44;51;23;101;103;66;0.175675675675676;0.359223300970874;0.403921568627451;0.247058823529412;0.213147267699
